商品,类型,物料名称,物料编码,消耗数量,单位,物料单价,行成本,适用渠道,ERPNext新单价,基价(两位),适用税率%,ERP_UOM,基价(原始)
脆皮鸡套餐2 - 香辣脆皮鸡,combo,16A 冷杯,PA99001,1.0,pc,0.7190400000000001,0.7190400000000001,通用,0.7190400000000001,0.64,7.0,pc,0.64
脆皮鸡套餐2 - 香辣脆皮鸡,combo,百事可乐原味,BE01004,25.0,g,0.24717,6.17925,通用,0.24717,0.22,7.0,g,0.22
脆皮鸡套餐2 - 香辣脆皮鸡,combo,PLA尖头吸管,PA99024,1.0,pc,0.213465,0.213465,通用,0.213465,0.19,7.0,pc,0.19
脆皮鸡套餐2 - 香辣脆皮鸡,combo,起酥油,DR02001,30.0,g,0.04954635,1.4863905000000002,通用,0.04954635,0.04,7.0,g,0.0441
脆皮鸡套餐2 - 香辣脆皮鸡,combo,腌泡粉,SE01001,6.0,g,0.101115,0.60669,通用,0.101115,0.09,7.0,g,0.09
脆皮鸡套餐2 - 香辣脆皮鸡,combo,十块鸡,FR05001,2.0,pc,8.61,17.22,通用,8.61,8.2,0.0,pc,8.2
脆皮鸡套餐2 - 香辣脆皮鸡,combo,炸鸡炸粉,DR02002,10.0,g,0.0183504996255,0.183504996255,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆皮鸡套餐2 - 香辣脆皮鸡,combo,辣椒酱（大包）,SA01008,10.0,g,0.02247,0.2247,堂食,0.02247,0.02,7.0,g,0.02
脆皮鸡套餐2 - 香辣脆皮鸡,combo,番茄酱（大包）,SA01009,10.0,g,0.02595285,0.2595285,堂食,0.02595285,0.02,7.0,g,0.0231
脆皮鸡套餐3 - 香辣脆皮鸡,combo,辣味粉,SE05002,10.0,g,0.146055,1.46055,通用,0.146055,0.13,7.0,g,0.13
脆皮鸡套餐3 - 香辣脆皮鸡,combo,16A 冷杯,PA99001,1.0,pc,0.7190400000000001,0.7190400000000001,通用,0.7190400000000001,0.64,7.0,pc,0.64
脆皮鸡套餐3 - 香辣脆皮鸡,combo,百事可乐原味,BE01004,50.0,g,0.24717,12.3585,通用,0.24717,0.22,7.0,g,0.22
脆皮鸡套餐3 - 香辣脆皮鸡,combo,PLA尖头吸管,PA99024,1.0,pc,0.213465,0.213465,通用,0.213465,0.19,7.0,pc,0.19
脆皮鸡套餐3 - 香辣脆皮鸡,combo,起酥油,DR02001,30.0,g,0.04954635,1.4863905000000002,通用,0.04954635,0.04,7.0,g,0.0441
脆皮鸡套餐3 - 香辣脆皮鸡,combo,腌泡粉,SE01001,6.0,g,0.101115,0.60669,通用,0.101115,0.09,7.0,g,0.09
脆皮鸡套餐3 - 香辣脆皮鸡,combo,翅中,FR01005,3.0,pc,4.61311515,13.83934545,通用,4.61311515,4.39,0.0,pc,4.393443
脆皮鸡套餐3 - 香辣脆皮鸡,combo,炸鸡炸粉,DR02002,10.0,g,0.0183504996255,0.183504996255,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆皮鸡套餐3 - 香辣脆皮鸡,combo,辣椒酱（大包）,SA01008,10.0,g,0.02247,0.2247,堂食,0.02247,0.02,7.0,g,0.02
脆皮鸡套餐3 - 香辣脆皮鸡,combo,番茄酱（大包）,SA01009,10.0,g,0.02595285,0.2595285,堂食,0.02595285,0.02,7.0,g,0.0231
脆皮鸡小腿,single,手枪腿,FR01002,1.0,pc,15.2775,15.2775,通用,15.2775,14.55,0.0,pc,14.55
脆皮鸡小腿,single,炸鸡炸粉,DR02002,30.0,g,0.0183504996255,0.5505149887649999,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆皮鸡小腿,single,J起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
脆皮鸡小腿,single,辣味粉,SE05002,3.0,g,0.146055,0.43816499999999997,通用,0.146055,0.13,7.0,g,0.13
脆皮鸡小腿,single,小纸袋,PA99013,1.0,pc,0.280875,0.280875,通用,0.280875,0.25,7.0,pc,0.25
脆皮鸡小腿,single,番茄酱（小包）,SA01013,1.0,pc,0.42693,0.42693,外卖,0.42693,0.38,7.0,pc,0.38
脆皮鸡小腿,single,辣椒酱（小包）,SA01010,1.0,pc,0.47187,0.47187,外卖,0.47187,0.42,7.0,pc,0.42
脆皮鸡翅,single,J起酥油,DR02001,50.0,g,0.04954635,2.4773175000000003,通用,0.04954635,0.04,7.0,g,0.0441
脆皮鸡翅,single,炸鸡炸粉,DR02002,75.0,g,0.0183504996255,1.3762874719124998,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆皮鸡翅,single,辣味粉,SE05002,7.5,g,0.146055,1.0954125,通用,0.146055,0.13,7.0,g,0.13
脆皮鸡翅,single,翅根,FR01004,5.0,pc,4.7108103,23.5540515,通用,4.7108103,4.49,0.0,pc,4.486486
脆皮鸡翅,single,小餐盒,PA99036,1.0,pc,1.898715,1.898715,通用,1.898715,1.69,7.0,pc,1.69
脆皮鸡翅,single,番茄酱（小包）,SA01013,1.0,pc,0.42693,0.42693,外卖,0.42693,0.38,7.0,pc,0.38
脆皮鸡翅,single,辣椒酱（小包）,SA01010,1.0,pc,0.47187,0.47187,外卖,0.47187,0.42,7.0,pc,0.42
脆皮鸡翅,single,小船盒,PA99035,1.0,pc,1.808835,1.808835,通用,1.808835,1.61,7.0,pc,1.61
脆皮鸡翅,single,番茄酱（大包）,SA01009,5.0,g,0.02595285,0.12976425,堂食,0.02595285,0.02,7.0,g,0.0231
脆皮鸡翅,single,甜辣酱（大包）,SA01001,5.0,g,0.033705,0.16852499999999998,堂食,0.033705,0.03,7.0,g,0.03
脆皮鸡肉卷,single,J起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
脆皮鸡肉卷,single,8寸面饼,FR03001,1.0,pc,6.972429765,6.972429765,通用,6.972429765,6.21,7.0,pc,6.20599
脆皮鸡肉卷,single,沙拉酱,SA02001,15.0,g,0.06741,1.01115,通用,0.06741,0.06,7.0,g,0.06
脆皮鸡肉卷,single,辣味粉,SE05002,3.0,g,0.146055,0.43816499999999997,通用,0.146055,0.13,7.0,g,0.13
脆皮鸡肉卷,single,炸鸡炸粉,DR02002,30.0,g,0.0183504996255,0.5505149887649999,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆皮鸡肉卷,single,五合一汉堡纸,PA99017,1.0,pc,0.24717,0.24717,通用,0.24717,0.22,7.0,pc,0.22
脆皮鸡肉卷,single,生菜,VE00004,15.0,g,0.08715,1.30725,通用,0.08715,0.08,0.0,g,0.083
脆皮鸡肉卷,single,鸡柳,CK02001,1.0,pc,4.534090908900001,4.534090908900001,通用,4.534090908900001,4.32,0.0,pc,4.318181818
脆皮鸡肉卷,single,餐巾纸,GE99003,1.0,pc,0.0894914566245,0.0894914566245,通用,0.0894914566245,0.08,7.0,pc,0.079654167
脆皮鸡腿,single,手枪腿,FR01002,1.0,pc,15.2775,15.2775,通用,15.2775,14.55,0.0,pc,14.55
脆皮鸡腿,single,炸鸡炸粉,DR02002,30.0,g,0.0183504996255,0.5505149887649999,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆皮鸡腿,single,J起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
脆皮鸡腿,single,辣味粉,SE05002,3.0,g,0.146055,0.43816499999999997,通用,0.146055,0.13,7.0,g,0.13
