商品,类型,物料名称,物料编码,消耗数量,单位,物料单价,行成本,适用渠道,ERPNext新单价,基价(两位),适用税率%,ERP_UOM,基价(原始)
单人份饱,combo,番茄酱（大包）,SA01009,10.0,g,0.02595285,0.2595285,堂食,0.02595285,0.02,7.0,g,0.0231
单人份饱,combo,甜辣酱（大包）,SA01001,10.0,g,0.033705,0.33704999999999996,堂食,0.033705,0.03,7.0,g,0.03
单人份饱,combo,五合一汉堡纸,PA99017,1.0,pc,0.24717,0.24717,通用,0.24717,0.22,7.0,pc,0.22
单人份饱,combo,炸鸡炸粉,DR02002,30.0,g,0.0183504996255,0.5505149887649999,通用,0.0183504996255,0.02,7.0,g,0.016333333
单人份饱,combo,无骨方腿腿肉汉堡用,FR01001,1.0,pc,18.9,18.9,通用,18.9,18.0,0.0,pc,18.0
单人份饱,combo,汉堡面包,DR01001,1.0,pc,5.246745000000001,5.246745000000001,通用,5.246745000000001,4.67,7.0,pc,4.67
单人份饱,combo,腌泡粉,SE01001,3.0,g,0.101115,0.303345,通用,0.101115,0.09,7.0,g,0.09
单人份饱,combo,沙拉酱,SA02001,15.0,g,0.06741,1.01115,通用,0.06741,0.06,7.0,g,0.06
单人份饱,combo,生菜,VE00004,15.0,g,0.08715,1.30725,通用,0.08715,0.08,0.0,g,0.083
单人份饱,combo,餐巾纸,GE99003,1.0,pc,0.0894914566245,0.0894914566245,通用,0.0894914566245,0.08,7.0,pc,0.079654167
单人餐 6,combo,百事可乐原味,BE01004,25.0,g,0.24717,6.17925,外卖,0.24717,0.22,7.0,g,0.22
单人餐 6,combo,PLA尖头吸管,PA99024,1.0,pc,0.213465,0.213465,外卖,0.213465,0.19,7.0,pc,0.19
单人餐 6,combo,哑光塑料封口膜,PA99027,1.0,pc,0.08988000000000002,0.08988000000000002,外卖,0.08988000000000002,0.08,7.0,pc,0.08
单人餐 6,combo,16A 冷杯,PA99001,1.0,pc,0.7190400000000001,0.7190400000000001,外卖,0.7190400000000001,0.64,7.0,pc,0.64
单人餐 6,combo,香米,DR01002,70.0,g,0.02247,1.5729,外卖,0.02247,0.02,7.0,g,0.02
单人餐 6,combo,手枪腿,FR01002,1.0,pc,15.2775,15.2775,外卖,15.2775,14.55,0.0,pc,14.55
单人餐 6,combo,炸鸡炸粉,DR02002,30.0,g,0.0183504996255,0.5505149887649999,外卖,0.0183504996255,0.02,7.0,g,0.016333333
单人餐 6,combo,J起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,外卖,0.04954635,0.04,7.0,g,0.0441
单人餐 6,combo,辣味粉,SE05002,3.0,g,0.146055,0.43816499999999997,外卖,0.146055,0.13,7.0,g,0.13
单人餐 6,combo,玉米粒,MK01003,20.0,g,0.0716625,1.4332500000000001,外卖,0.0716625,0.07,0.0,g,0.06825
单人餐 6,combo,沙拉酱,SA02001,15.0,g,0.06741,1.01115,外卖,0.06741,0.06,7.0,g,0.06
单人餐 6,combo,生菜,VE00004,20.0,g,0.08715,1.743,外卖,0.08715,0.08,0.0,g,0.083
单人餐 6,combo,单杯袋,PA99020,1.0,pc,0.20223,0.20223,外卖,0.20223,0.18,7.0,pc,0.18
单人餐 6,combo,打包袋 (小号),PA99018,1.0,pc,0.3595200000000001,0.3595200000000001,外卖,0.3595200000000001,0.32,7.0,pc,0.32
单人餐 6,combo,小餐盒,PA99036,1.0,pc,1.898715,1.898715,外卖,1.898715,1.69,7.0,pc,1.69
单人餐 6,combo,酱料盒（外卖）,PA01005,1.0,pc,0.325815,0.325815,外卖,0.325815,0.29,7.0,pc,0.29
单人餐 6,combo,Jauaa酱,MK01016,30.0,g,0.1052413087845,3.1572392635349997,外卖,0.1052413087845,0.09,7.0,g,0.093672727
单人餐 6,combo,酱料盒（堂食）,PA01006,1.0,pc,0.1378128792915,0.1378128792915,外卖,0.1378128792915,0.12,7.0,pc,0.122663889
单人餐 6,combo,塑料碗盒（方盒）,PA01002,1.0,pc,3.66261,3.66261,外卖,3.66261,3.26,7.0,pc,3.26
原价番茄爆米香,single,J起酥油,DR02001,60.0,g,0.04954635,2.9727810000000003,通用,0.04954635,0.04,7.0,g,0.0441
原价番茄爆米香,single,肉丁（原味米花）,CK02004,12.0,pc,1.292025,15.5043,通用,1.292025,1.15,7.0,pc,1.15
原价番茄爆米香,single,鸡米花盒,PA99003,1.0,pc,0.65163,0.65163,通用,0.65163,0.58,7.0,pc,0.58
原价番茄爆米香,single,番茄酱（小包）,SA01013,1.0,pc,0.42693,0.42693,外卖,0.42693,0.38,7.0,pc,0.38
原价番茄爆米香,single,辣椒酱（小包）,SA01010,1.0,pc,0.47187,0.47187,外卖,0.47187,0.42,7.0,pc,0.42
原价番茄爆米香,single,番茄酱（大包）,SA01009,5.0,g,0.02595285,0.12976425,堂食,0.02595285,0.02,7.0,g,0.0231
原价番茄爆米香,single,甜辣酱（大包）,SA01001,5.0,g,0.033705,0.16852499999999998,堂食,0.033705,0.03,7.0,g,0.03
双主套,combo,16A 冷杯,PA99001,1.0,pc,0.7190400000000001,0.7190400000000001,通用,0.7190400000000001,0.64,7.0,pc,0.64
双主套,combo,哑光塑料封口膜,PA99027,1.0,pc,0.08988000000000002,0.08988000000000002,外卖,0.08988000000000002,0.08,7.0,pc,0.08
双主套,combo,PLA尖头吸管,PA99024,1.0,pc,0.213465,0.213465,通用,0.213465,0.19,7.0,pc,0.19
双主套,combo,百事零度,BE01001,25.0,g,0.15729,3.9322500000000002,通用,0.15729,0.14,7.0,g,0.14
双主套,combo,单杯袋,PA99020,1.0,pc,0.20223,0.20223,外卖,0.20223,0.18,7.0,pc,0.18
双主套,combo,薯条细款7mm,FR02001,150.0,g,0.05617500000000001,8.426250000000001,通用,0.05617500000000001,0.05,7.0,g,0.05
双主套,combo,J起酥油,DR02001,120.0,g,0.04954635,5.945562000000001,通用,0.04954635,0.04,7.0,g,0.0441
双主套,combo,盐,DR06002,1.0,g,0.011235,0.011235,通用,0.011235,0.01,7.0,g,0.01
双主套,combo,外卖筒形薯盒,PA99005,1.0,pc,0.775215,0.775215,外卖,0.775215,0.69,7.0,pc,0.69
双主套,combo,番茄酱（小包）,SA01013,4.0,pc,0.42693,1.70772,外卖,0.42693,0.38,7.0,pc,0.38
双主套,combo,辣椒酱（小包）,SA01010,4.0,pc,0.47187,1.88748,外卖,0.47187,0.42,7.0,pc,0.42
双主套,combo,中薯盒,PA99006,1.0,pc,0.6179250000000002,0.6179250000000002,通用,0.6179250000000002,0.55,7.0,pc,0.55
双主套,combo,番茄酱（大包）,SA01009,25.0,g,0.02595285,0.64882125,堂食,0.02595285,0.02,7.0,g,0.0231
双主套,combo,甜辣酱（大包）,SA01001,25.0,g,0.033705,0.842625,堂食,0.033705,0.03,7.0,g,0.03
双主套,combo,十块鸡,FR05001,1.0,pc,8.61,8.61,通用,8.61,8.2,0.0,pc,8.2
双主套,combo,炸鸡炸粉,DR02002,50.0,g,0.0183504996255,0.9175249812749999,通用,0.0183504996255,0.02,7.0,g,0.016333333
双主套,combo,腌泡粉,SE01001,9.0,g,0.101115,0.9100349999999999,通用,0.101115,0.09,7.0,g,0.09
双主套,combo,小纸袋,PA99013,2.0,pc,0.280875,0.56175,通用,0.280875,0.25,7.0,pc,0.25
双主套,combo,小船盒,PA99035,2.0,pc,1.808835,3.61767,通用,1.808835,1.61,7.0,pc,1.61
双主套,combo,五合一汉堡纸,PA99017,1.0,pc,0.24717,0.24717,通用,0.24717,0.22,7.0,pc,0.22
双主套,combo,无骨方腿腿肉汉堡用,FR01001,1.0,pc,18.9,18.9,通用,18.9,18.0,0.0,pc,18.0
双主套,combo,汉堡面包,DR01001,1.0,pc,5.246745000000001,5.246745000000001,通用,5.246745000000001,4.67,7.0,pc,4.67
双主套,combo,沙拉酱,SA02001,15.0,g,0.06741,1.01115,通用,0.06741,0.06,7.0,g,0.06
双主套,combo,生菜,VE00004,15.0,g,0.08715,1.30725,通用,0.08715,0.08,0.0,g,0.083
双主套,combo,餐巾纸,GE99003,1.0,pc,0.0894914566245,0.0894914566245,通用,0.0894914566245,0.08,7.0,pc,0.079654167
双主套,combo,鸡块,CK01002,5.0,pc,2.944028388,14.72014194,通用,2.944028388,2.62,7.0,pc,2.620408
双主套,combo,肉丁（原味米花）,CK02004,12.0,pc,1.292025,15.5043,通用,1.292025,1.15,7.0,pc,1.15
双主套,combo,鸡米花盒,PA99003,1.0,pc,0.65163,0.65163,通用,0.65163,0.58,7.0,pc,0.58
双人套餐,combo,沙拉酱,SA02001,30.0,g,0.06741,2.0223,通用,0.06741,0.06,7.0,g,0.06
双人套餐,combo,五合一汉堡纸,PA99017,2.0,pc,0.24717,0.49434,通用,0.24717,0.22,7.0,pc,0.22
双人套餐,combo,8寸面饼,FR03001,1.0,pc,6.972429765,6.972429765,通用,6.972429765,6.21,7.0,pc,6.20599
双人套餐,combo,番茄酱（大包）,SA01009,10.0,g,0.02595285,0.2595285,堂食,0.02595285,0.02,7.0,g,0.0231
双人套餐,combo,生菜,VE00004,15.0,g,0.08715,1.30725,通用,0.08715,0.08,0.0,g,0.083
双人套餐,combo,辣味粉,SE05002,10.0,g,0.146055,1.46055,通用,0.146055,0.13,7.0,g,0.13
双人套餐,combo,起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
双人套餐,combo,无骨方腿腿肉汉堡用,FR01001,2.0,pc,18.9,37.8,通用,18.9,18.0,0.0,pc,18.0
双人套餐,combo,炸鸡炸粉,DR02002,10.0,g,0.0183504996255,0.183504996255,通用,0.0183504996255,0.02,7.0,g,0.016333333
双人套餐,combo,辣椒酱（大包）,SA01008,10.0,g,0.02247,0.2247,堂食,0.02247,0.02,7.0,g,0.02
双人套餐,combo,肉丁（原味米花）,CK02004,12.0,pc,1.292025,15.5043,通用,1.292025,1.15,7.0,pc,1.15
双人套餐,combo,鸡米花盒,PA99003,1.0,pc,0.65163,0.65163,通用,0.65163,0.58,7.0,pc,0.58
双人套餐,combo,甜辣酱（大包）,SA01001,10.0,g,0.033705,0.33704999999999996,堂食,0.033705,0.03,7.0,g,0.03
双人套餐,combo,鸡块,CK01002,5.0,pc,2.944028388,14.72014194,通用,2.944028388,2.62,7.0,pc,2.620408
双人套餐,combo,中薯盒,PA99006,1.0,pc,0.6179250000000002,0.6179250000000002,通用,0.6179250000000002,0.55,7.0,pc,0.55
双人套餐,combo,薯条细款7mm,FR02001,150.0,g,0.05617500000000001,8.426250000000001,通用,0.05617500000000001,0.05,7.0,g,0.05
双人套餐,combo,盐,DR06002,1.0,g,0.011235,0.011235,通用,0.011235,0.01,7.0,g,0.01
双人套餐,combo,16A 冷杯,PA99001,2.0,pc,0.7190400000000001,1.4380800000000002,通用,0.7190400000000001,0.64,7.0,pc,0.64
双人套餐,combo,百事可乐原味,BE01004,50.0,g,0.24717,12.3585,通用,0.24717,0.22,7.0,g,0.22
双人套餐,combo,PLA尖头吸管,PA99024,2.0,pc,0.213465,0.42693,通用,0.213465,0.19,7.0,pc,0.19
双人派对套装（旧）,combo,起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
双人派对套装（旧）,combo,鸡棒,CK02003,5.0,pc,2.177799141,10.888995705,通用,2.177799141,1.94,7.0,pc,1.938406
双人派对套装（旧）,combo,番茄酱（小包）,SA01013,1.0,pc,0.42693,0.42693,外卖,0.42693,0.38,7.0,pc,0.38
双人派对套装（旧）,combo,辣椒酱（小包）,SA01010,1.0,pc,0.47187,0.47187,外卖,0.47187,0.42,7.0,pc,0.42
双人派对套装（旧）,combo,小纸袋,PA99013,1.0,pc,0.280875,0.280875,通用,0.280875,0.25,7.0,pc,0.25
双人派对套装（旧）,combo,4#全鸡袋,PA99008,1.0,pc,0.6066900000000001,0.6066900000000001,通用,0.6066900000000001,0.54,7.0,pc,0.54
双人派对套装（旧）,combo,鸡块,CK01002,1.0,pc,2.944028388,2.944028388,通用,2.944028388,2.62,7.0,pc,2.620408
双人派对套装（旧）,combo,小号方底袋,PA99012,1.0,pc,1.067325,1.067325,通用,1.067325,0.95,7.0,pc,0.95
双人派对套装（旧）,combo,辣味粉,SE05002,10.0,g,0.146055,1.46055,通用,0.146055,0.13,7.0,g,0.13
双人派对套装（旧）,combo,鸡腿,FR01003,2.0,pc,6.90000045,13.8000009,通用,6.90000045,6.57,0.0,pc,6.571429
双人派对套装（旧）,combo,单杯袋,PA99020,4.0,pc,0.20223,0.80892,外卖,0.20223,0.18,7.0,pc,0.18
双人派对套装（旧）,combo,炸鸡炸粉,DR02002,10.0,g,0.0183504996255,0.183504996255,通用,0.0183504996255,0.02,7.0,g,0.016333333
双人派对套装（旧）,combo,木勺,PA99026,1.0,pc,0.07864500000000002,0.07864500000000002,通用,0.07864500000000002,0.07,7.0,pc,0.07
双人派对套装（旧）,combo,玉米杯,PA01007,1.0,pc,0.9971624250000001,0.9971624250000001,通用,0.9971624250000001,0.89,7.0,pc,0.88755
双人派对套装（旧）,combo,玉米粒,MK01003,120.0,g,0.0716625,8.5995,通用,0.0716625,0.07,0.0,g,0.06825
双人派对套装（旧）,combo,玉米杯盖,PA01008,1.0,pc,0.230996094,0.230996094,通用,0.230996094,0.21,7.0,pc,0.205604
双人派对套装（旧）,combo,翅根,FR01004,2.0,pc,4.7108103,9.4216206,通用,4.7108103,4.49,0.0,pc,4.486486
双人派对套装（旧）,combo,腌泡粉,SE01001,10.0,g,0.101115,1.01115,通用,0.101115,0.09,7.0,g,0.09
双人派对套装（旧）,combo,十块鸡,FR05001,2.0,pc,8.61,17.22,通用,8.61,8.2,0.0,pc,8.2
双人派对套装（旧）,combo,16A 冷杯,PA99001,4.0,pc,0.7190400000000001,2.8761600000000005,通用,0.7190400000000001,0.64,7.0,pc,0.64
双人派对套装（旧）,combo,百事可乐原味,BE01004,100.0,g,0.24717,24.717,通用,0.24717,0.22,7.0,g,0.22
双人派对套装（旧）,combo,PLA尖头吸管,PA99024,4.0,pc,0.213465,0.85386,通用,0.213465,0.19,7.0,pc,0.19
双人派对套装（旧）,combo,哑光塑料封口膜,PA99027,4.0,pc,0.08988000000000002,0.35952000000000006,外卖,0.08988000000000002,0.08,7.0,pc,0.08
双人派对套餐,combo,起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
双人派对套餐,combo,鸡棒,CK02003,5.0,pc,2.177799141,10.888995705,通用,2.177799141,1.94,7.0,pc,1.938406
双人派对套餐,combo,番茄酱（小包）,SA01013,1.0,pc,0.42693,0.42693,外卖,0.42693,0.38,7.0,pc,0.38
双人派对套餐,combo,辣椒酱（小包）,SA01010,1.0,pc,0.47187,0.47187,外卖,0.47187,0.42,7.0,pc,0.42
双人派对套餐,combo,小纸袋,PA99013,1.0,pc,0.280875,0.280875,通用,0.280875,0.25,7.0,pc,0.25
双人派对套餐,combo,4#全鸡袋,PA99008,1.0,pc,0.6066900000000001,0.6066900000000001,通用,0.6066900000000001,0.54,7.0,pc,0.54
双人派对套餐,combo,鸡块,CK01002,1.0,pc,2.944028388,2.944028388,通用,2.944028388,2.62,7.0,pc,2.620408
双人派对套餐,combo,小号方底袋,PA99012,1.0,pc,1.067325,1.067325,通用,1.067325,0.95,7.0,pc,0.95
双人派对套餐,combo,辣味粉,SE05002,10.0,g,0.146055,1.46055,通用,0.146055,0.13,7.0,g,0.13
双人派对套餐,combo,鸡腿,FR01003,2.0,pc,6.90000045,13.8000009,通用,6.90000045,6.57,0.0,pc,6.571429
双人派对套餐,combo,单杯袋,PA99020,4.0,pc,0.20223,0.80892,外卖,0.20223,0.18,7.0,pc,0.18
双人派对套餐,combo,炸鸡炸粉,DR02002,10.0,g,0.0183504996255,0.183504996255,通用,0.0183504996255,0.02,7.0,g,0.016333333
双人派对套餐,combo,木勺,PA99026,1.0,pc,0.07864500000000002,0.07864500000000002,通用,0.07864500000000002,0.07,7.0,pc,0.07
双人派对套餐,combo,玉米杯,PA01007,1.0,pc,0.9971624250000001,0.9971624250000001,通用,0.9971624250000001,0.89,7.0,pc,0.88755
双人派对套餐,combo,玉米粒,MK01003,120.0,g,0.0716625,8.5995,通用,0.0716625,0.07,0.0,g,0.06825
双人派对套餐,combo,玉米杯盖,PA01008,1.0,pc,0.230996094,0.230996094,通用,0.230996094,0.21,7.0,pc,0.205604
双人派对套餐,combo,翅根,FR01004,2.0,pc,4.7108103,9.4216206,通用,4.7108103,4.49,0.0,pc,4.486486
双人派对套餐,combo,腌泡粉,SE01001,10.0,g,0.101115,1.01115,通用,0.101115,0.09,7.0,g,0.09
双人派对套餐,combo,十块鸡,FR05001,2.0,pc,8.61,17.22,通用,8.61,8.2,0.0,pc,8.2
双人派对套餐,combo,16A 冷杯,PA99001,4.0,pc,0.7190400000000001,2.8761600000000005,通用,0.7190400000000001,0.64,7.0,pc,0.64
双人派对套餐,combo,百事可乐原味,BE01004,100.0,g,0.24717,24.717,通用,0.24717,0.22,7.0,g,0.22
双人派对套餐,combo,PLA尖头吸管,PA99024,4.0,pc,0.213465,0.85386,通用,0.213465,0.19,7.0,pc,0.19
双人派对套餐,combo,哑光塑料封口膜,PA99027,4.0,pc,0.08988000000000002,0.35952000000000006,外卖,0.08988000000000002,0.08,7.0,pc,0.08
双色冰淇淋甜筒,single,冰淇淋紙套,SP01001,1.0,pc,0.78645,0.78645,通用,0.78645,0.7,7.0,pc,0.7
双色冰淇淋甜筒,single,冰淇淋预伴粉香草,DE03002,14.0,g,0.213465,2.9885099999999998,通用,0.213465,0.19,7.0,g,0.19
双色冰淇淋甜筒,single,威化筒,DE01001,1.0,pc,2.13465,2.13465,通用,2.13465,1.9,7.0,pc,1.9
双鸡套餐,combo,百事可乐原味,BE01004,50.0,g,0.24717,12.3585,通用,0.24717,0.22,7.0,g,0.22
双鸡套餐,combo,PLA尖头吸管,PA99024,2.0,pc,0.213465,0.42693,通用,0.213465,0.19,7.0,pc,0.19
双鸡套餐,combo,哑光塑料封口膜,PA99027,2.0,pc,0.08988000000000002,0.17976000000000003,外卖,0.08988000000000002,0.08,7.0,pc,0.08
双鸡套餐,combo,16A 冷杯,PA99001,2.0,pc,0.7190400000000001,1.4380800000000002,通用,0.7190400000000001,0.64,7.0,pc,0.64
双鸡套餐,combo,单杯袋,PA99020,2.0,pc,0.20223,0.40446,外卖,0.20223,0.18,7.0,pc,0.18
双鸡套餐,combo,薯条细款7mm,FR02001,150.0,g,0.05617500000000001,8.426250000000001,通用,0.05617500000000001,0.05,7.0,g,0.05
双鸡套餐,combo,J起酥油,DR02001,105.0,g,0.04954635,5.20236675,通用,0.04954635,0.04,7.0,g,0.0441
双鸡套餐,combo,盐,DR06002,1.0,g,0.011235,0.011235,通用,0.011235,0.01,7.0,g,0.01
双鸡套餐,combo,外卖筒形薯盒,PA99005,1.0,pc,0.775215,0.775215,外卖,0.775215,0.69,7.0,pc,0.69
双鸡套餐,combo,番茄酱（小包）,SA01013,5.0,pc,0.42693,2.1346499999999997,外卖,0.42693,0.38,7.0,pc,0.38
双鸡套餐,combo,辣椒酱（小包）,SA01010,5.0,pc,0.47187,2.35935,外卖,0.47187,0.42,7.0,pc,0.42
双鸡套餐,combo,中薯盒,PA99006,1.0,pc,0.6179250000000002,0.6179250000000002,通用,0.6179250000000002,0.55,7.0,pc,0.55
双鸡套餐,combo,番茄酱（大包）,SA01009,30.0,g,0.02595285,0.7785854999999999,堂食,0.02595285,0.02,7.0,g,0.0231
双鸡套餐,combo,甜辣酱（大包）,SA01001,30.0,g,0.033705,1.01115,堂食,0.033705,0.03,7.0,g,0.03
双鸡套餐,combo,十块鸡,FR05001,3.0,pc,8.61,25.83,通用,8.61,8.2,0.0,pc,8.2
双鸡套餐,combo,炸鸡炸粉,DR02002,60.0,g,0.0183504996255,1.1010299775299999,通用,0.0183504996255,0.02,7.0,g,0.016333333
双鸡套餐,combo,腌泡粉,SE01001,18.0,g,0.101115,1.8200699999999999,通用,0.101115,0.09,7.0,g,0.09
双鸡套餐,combo,小纸袋,PA99013,3.0,pc,0.280875,0.842625,通用,0.280875,0.25,7.0,pc,0.25
双鸡套餐,combo,小船盒,PA99035,3.0,pc,1.808835,5.426505,通用,1.808835,1.61,7.0,pc,1.61
双鸡套餐,combo,肉丁（原味米花）,CK02004,12.0,pc,1.292025,15.5043,通用,1.292025,1.15,7.0,pc,1.15
双鸡套餐,combo,鸡米花盒,PA99003,1.0,pc,0.65163,0.65163,通用,0.65163,0.58,7.0,pc,0.58
合艾炸鸡,single,炸洋葱,DR05001,10.0,g,0.2550345,2.550345,通用,0.2550345,0.23,7.0,g,0.227
合艾炸鸡,single,J起酥油,DR02001,50.0,g,0.04954635,2.4773175000000003,通用,0.04954635,0.04,7.0,g,0.0441
合艾炸鸡,single,翅中,FR01005,5.0,pc,4.61311515,23.065575749999997,通用,4.61311515,4.39,0.0,pc,4.393443
合艾炸鸡,single,辣味粉,SE05002,10.0,g,0.146055,1.46055,通用,0.146055,0.13,7.0,g,0.13
合艾炸鸡,single,小餐盒,PA99036,1.0,pc,1.898715,1.898715,通用,1.898715,1.69,7.0,pc,1.69
合艾炸鸡,single,番茄酱（小包）,SA01013,1.0,pc,0.42693,0.42693,外卖,0.42693,0.38,7.0,pc,0.38
合艾炸鸡,single,辣椒酱（小包）,SA01010,1.0,pc,0.47187,0.47187,外卖,0.47187,0.42,7.0,pc,0.42
合艾炸鸡,single,小船盒,PA99035,1.0,pc,1.808835,1.808835,通用,1.808835,1.61,7.0,pc,1.61
合艾炸鸡,single,番茄酱（大包）,SA01009,5.0,g,0.02595285,0.12976425,堂食,0.02595285,0.02,7.0,g,0.0231
合艾炸鸡,single,甜辣酱（大包）,SA01001,5.0,g,0.033705,0.16852499999999998,堂食,0.033705,0.03,7.0,g,0.03
合艾炸鸡（中翅 8块）,single,炸洋葱,DR05001,16.0,g,0.2550345,4.080552,通用,0.2550345,0.23,7.0,g,0.227
合艾炸鸡（中翅 8块）,single,J起酥油,DR02001,80.0,g,0.04954635,3.9637080000000005,通用,0.04954635,0.04,7.0,g,0.0441
合艾炸鸡（中翅 8块）,single,翅中,FR01005,8.0,pc,4.61311515,36.9049212,通用,4.61311515,4.39,0.0,pc,4.393443
合艾炸鸡（中翅 8块）,single,辣味粉,SE05002,16.0,g,0.146055,2.33688,通用,0.146055,0.13,7.0,g,0.13
合艾炸鸡（中翅 8块）,single,小纸袋,PA99013,4.0,pc,0.280875,1.1235,通用,0.280875,0.25,7.0,pc,0.25
合艾炸鸡（中翅 8块）,single,番茄酱（小包）,SA01013,4.0,pc,0.42693,1.70772,外卖,0.42693,0.38,7.0,pc,0.38
合艾炸鸡（中翅 8块）,single,辣椒酱（小包）,SA01010,4.0,pc,0.47187,1.88748,外卖,0.47187,0.42,7.0,pc,0.42
合艾炸鸡（中翅 8块）,single,番茄酱（大包）,SA01009,20.0,g,0.02595285,0.519057,堂食,0.02595285,0.02,7.0,g,0.0231
合艾炸鸡（中翅 8块）,single,甜辣酱（大包）,SA01001,20.0,g,0.033705,0.6740999999999999,堂食,0.033705,0.03,7.0,g,0.03
合艾狂热 1,single,辣味粉,SE05002,10.0,g,0.146055,1.46055,通用,0.146055,0.13,7.0,g,0.13
合艾狂热 1,single,起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
合艾狂热 1,single,翅中,FR01005,8.0,pc,4.61311515,36.9049212,通用,4.61311515,4.39,0.0,pc,4.393443
合艾狂热 1,single,小餐盒,PA99036,1.0,pc,1.898715,1.898715,通用,1.898715,1.69,7.0,pc,1.69
合艾狂热 1,single,炸洋葱,DR05001,15.0,g,0.2550345,3.8255175,通用,0.2550345,0.23,7.0,g,0.227
合艾狂热 1,single,番茄酱（小包）,SA01013,1.0,pc,0.42693,0.42693,外卖,0.42693,0.38,7.0,pc,0.38
合艾狂热 1,single,辣椒酱（小包）,SA01010,1.0,pc,0.47187,0.47187,外卖,0.47187,0.42,7.0,pc,0.42
合艾狂热 2,single,辣味粉,SE05002,10.0,g,0.146055,1.46055,通用,0.146055,0.13,7.0,g,0.13
合艾狂热 2,single,起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
合艾狂热 2,single,翅中,FR01005,8.0,pc,4.61311515,36.9049212,通用,4.61311515,4.39,0.0,pc,4.393443
合艾狂热 2,single,小餐盒,PA99036,1.0,pc,1.898715,1.898715,通用,1.898715,1.69,7.0,pc,1.69
合艾狂热 2,single,炸洋葱,DR05001,15.0,g,0.2550345,3.8255175,通用,0.2550345,0.23,7.0,g,0.227
合艾狂热 2,single,番茄酱（小包）,SA01013,1.0,pc,0.42693,0.42693,外卖,0.42693,0.38,7.0,pc,0.38
合艾狂热 2,single,辣椒酱（小包）,SA01010,1.0,pc,0.47187,0.47187,外卖,0.47187,0.42,7.0,pc,0.42
合艾狂热 3,single,辣味粉,SE05002,10.0,g,0.146055,1.46055,通用,0.146055,0.13,7.0,g,0.13
合艾狂热 3,single,起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
合艾狂热 3,single,翅中,FR01005,8.0,pc,4.61311515,36.9049212,通用,4.61311515,4.39,0.0,pc,4.393443
合艾狂热 3,single,小餐盒,PA99036,1.0,pc,1.898715,1.898715,通用,1.898715,1.69,7.0,pc,1.69
合艾狂热 3,single,炸洋葱,DR05001,15.0,g,0.2550345,3.8255175,通用,0.2550345,0.23,7.0,g,0.227
合艾狂热 3,single,番茄酱（小包）,SA01013,1.0,pc,0.42693,0.42693,外卖,0.42693,0.38,7.0,pc,0.38
合艾狂热 3,single,辣椒酱（小包）,SA01010,1.0,pc,0.47187,0.47187,外卖,0.47187,0.42,7.0,pc,0.42
合艾狂热 3,single,16A 冷杯,PA99001,1.0,pc,0.7190400000000001,0.7190400000000001,通用,0.7190400000000001,0.64,7.0,pc,0.64
合艾狂热 3,single,百事可乐原味,BE01004,25.0,g,0.24717,6.17925,通用,0.24717,0.22,7.0,g,0.22
合艾狂热 3,single,PLA尖头吸管,PA99024,1.0,pc,0.213465,0.213465,通用,0.213465,0.19,7.0,pc,0.19
合艾狂热 3,single,哑光塑料封口膜,PA99027,1.0,pc,0.08988000000000002,0.08988000000000002,外卖,0.08988000000000002,0.08,7.0,pc,0.08
合艾狂热 4,single,辣味粉,SE05002,10.0,g,0.146055,1.46055,通用,0.146055,0.13,7.0,g,0.13
合艾狂热 4,single,起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
合艾狂热 4,single,翅中,FR01005,8.0,pc,4.61311515,36.9049212,通用,4.61311515,4.39,0.0,pc,4.393443
合艾狂热 4,single,小餐盒,PA99036,1.0,pc,1.898715,1.898715,通用,1.898715,1.69,7.0,pc,1.69
合艾狂热 4,single,炸洋葱,DR05001,15.0,g,0.2550345,3.8255175,通用,0.2550345,0.23,7.0,g,0.227
合艾狂热 4,single,番茄酱（小包）,SA01013,1.0,pc,0.42693,0.42693,外卖,0.42693,0.38,7.0,pc,0.38
合艾狂热 4,single,辣椒酱（小包）,SA01010,1.0,pc,0.47187,0.47187,外卖,0.47187,0.42,7.0,pc,0.42
合艾狂热 4,single,16A 冷杯,PA99001,1.0,pc,0.7190400000000001,0.7190400000000001,通用,0.7190400000000001,0.64,7.0,pc,0.64
合艾狂热 4,single,百事可乐原味,BE01004,25.0,g,0.24717,6.17925,通用,0.24717,0.22,7.0,g,0.22
合艾狂热 4,single,PLA尖头吸管,PA99024,1.0,pc,0.213465,0.213465,通用,0.213465,0.19,7.0,pc,0.19
